Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-01-01 00:00:00,17.58,43.10,0.88,2.79,2.19,8.98,2.77,0.39,NA,0.22,0.85,NA,NA,NA,NA,NA,77.48,3.20,128.43,0.00,0.00,102.18,747.93,NA
2022-01-02 00:00:00,17.47,47.60,0.91,3.23,2.46,6.33,2.35,0.34,NA,0.20,0.73,NA,NA,NA,NA,NA,74.65,2.69,140.14,0.00,0.00,119.68,747.53,NA
2022-01-03 00:00:00,40.40,77.75,1.45,5.18,3.92,6.75,3.43,0.47,37.67,0.35,1.30,NA,NA,NA,NA,NA,72.53,2.19,157.27,0.00,0.00,120.34,747.24,NA
2022-01-04 00:00:00,41.89,79.82,0.85,4.47,3.05,7.12,3.15,0.43,39.77,0.30,1.12,NA,NA,NA,NA,NA,69.55,2.34,148.55,0.00,0.00,123.41,747.53,NA
2022-01-05 00:00:00,35.81,88.93,1.31,7.50,5.05,6.74,5.99,0.51,26.11,0.41,1.80,NA,NA,NA,NA,NA,74.12,1.98,169.23,0.00,0.00,112.68,747.40,NA
2022-01-06 00:00:00,25.27,56.82,1.40,5.50,4.07,7.93,5.12,0.41,20.24,0.37,1.94,NA,NA,NA,NA,NA,76.00,1.92,152.95,0.00,0.00,113.94,746.88,NA
2022-01-07 00:00:00,18.52,58.69,2.11,5.18,4.47,7.92,4.32,0.42,18.77,0.37,2.20,NA,NA,NA,NA,NA,75.46,1.75,170.25,0.00,0.00,105.96,746.94,NA
2022-01-08 00:00:00,7.74,46.73,0.96,3.07,2.45,6.82,2.26,0.28,24.32,0.22,1.48,NA,NA,NA,NA,NA,72.77,1.67,169.81,0.00,0.00,126.76,747.22,NA
2022-01-09 00:00:00,11.69,37.02,1.42,2.94,2.63,6.24,3.79,0.30,22.68,0.32,1.24,NA,NA,NA,NA,NA,74.42,1.48,174.96,0.00,0.00,124.76,746.40,NA
2022-01-10 00:00:00,10.56,36.45,2.10,4.19,3.58,7.76,2.57,0.36,18.82,0.37,1.36,NA,NA,NA,NA,NA,74.65,1.22,191.29,0.00,0.00,132.58,746.50,NA
2022-01-11 00:00:00,6.62,33.48,1.80,3.38,3.02,7.21,2.98,0.34,16.81,0.24,1.43,NA,NA,NA,NA,NA,73.89,1.54,182.31,0.00,0.00,134.80,746.28,NA
2022-01-12 00:00:00,8.87,32.98,9.72,3.73,4.35,7.06,2.92,0.35,13.47,0.30,1.44,NA,NA,NA,NA,NA,74.90,1.53,211.74,0.00,0.00,133.57,746.00,NA
2022-01-13 00:00:00,34.08,37.16,NA,2.81,2.47,7.02,NA,0.42,15.70,0.54,0.88,NA,NA,NA,NA,NA,74.98,2.14,216.85,0.00,0.00,130.91,745.48,NA
2022-01-14 00:00:00,11.60,21.16,1.32,2.75,2.49,5.78,2.35,0.31,15.09,0.21,0.79,NA,NA,NA,NA,NA,75.44,1.63,212.30,0.00,0.00,126.79,745.38,NA
2022-01-15 00:00:00,7.19,22.64,NA,2.58,2.79,6.65,NA,0.31,14.01,0.21,1.10,NA,NA,NA,NA,NA,75.74,1.54,174.38,0.00,0.00,127.26,746.00,NA
2022-01-16 00:00:00,6.26,30.56,NA,1.20,1.40,6.25,NA,0.26,23.19,0.12,0.62,NA,NA,NA,NA,NA,73.68,2.35,135.49,0.00,0.00,133.51,747.04,NA
2022-01-17 00:00:00,14.27,30.18,1.07,6.13,4.02,4.78,4.77,0.47,21.78,0.32,1.50,NA,NA,NA,NA,NA,81.57,1.59,192.43,0.19,18.00,31.58,747.82,NA
2022-01-18 00:00:00,34.29,69.08,1.33,4.84,3.66,6.66,4.82,0.45,23.45,0.38,1.66,NA,NA,NA,NA,NA,76.53,1.83,162.31,0.00,0.00,124.45,747.51,NA
2022-01-19 00:00:00,48.74,98.10,3.02,7.68,5.91,10.84,7.39,0.78,26.78,0.45,2.35,NA,NA,NA,NA,NA,72.94,1.36,143.61,0.01,1.00,117.87,746.28,NA
2022-01-20 00:00:00,55.08,94.76,4.73,7.45,6.18,10.71,5.39,0.58,32.33,0.46,2.19,NA,NA,NA,NA,NA,71.10,1.11,209.41,0.00,0.00,121.62,745.01,NA
2022-01-21 00:00:00,50.89,106.83,4.30,7.72,7.44,14.22,3.84,0.50,26.20,0.39,2.04,NA,NA,NA,NA,NA,74.45,1.54,244.74,0.00,0.00,128.47,744.79,NA
2022-01-22 00:00:00,46.65,74.59,0.88,4.01,2.85,9.73,4.63,0.45,30.42,0.26,1.07,NA,NA,NA,NA,NA,78.95,1.81,241.78,0.00,0.00,122.51,743.79,NA
2022-01-23 00:00:00,34.98,59.04,0.71,2.23,1.75,7.65,4.25,0.37,30.84,0.19,0.67,NA,NA,NA,NA,NA,77.10,2.06,247.78,0.00,0.00,120.73,743.93,NA
2022-01-24 00:00:00,24.01,42.65,2.23,6.80,5.42,6.02,2.35,0.53,24.97,0.32,1.57,NA,NA,NA,NA,NA,78.26,1.42,245.81,0.31,30.00,47.84,743.72,NA
2022-01-25 00:00:00,25.62,57.57,10.43,7.87,9.57,17.81,3.16,0.55,13.38,0.48,2.59,NA,NA,NA,NA,NA,76.89,1.66,236.90,0.00,0.00,128.39,744.09,NA
2022-01-26 00:00:00,9.35,35.93,4.83,3.67,3.41,9.42,3.13,0.32,17.26,0.18,1.11,NA,NA,NA,NA,NA,73.16,1.66,230.92,0.00,0.00,120.16,744.75,NA
2022-01-27 00:00:00,15.39,85.35,1.21,4.86,6.29,12.86,3.20,0.31,16.45,0.21,1.87,NA,NA,NA,NA,NA,72.31,1.79,180.20,0.00,0.00,137.18,745.19,NA
2022-01-28 00:00:00,28.84,101.55,0.90,2.82,2.24,7.31,2.59,0.33,40.10,0.18,0.86,NA,NA,NA,NA,NA,71.93,2.86,149.12,0.00,0.00,101.78,746.11,NA
2022-01-29 00:00:00,55.93,138.24,0.85,5.12,3.42,6.54,5.07,0.47,44.38,0.38,1.16,NA,NA,NA,NA,NA,74.34,2.64,158.62,0.00,0.00,70.90,746.73,NA
2022-01-30 00:00:00,47.40,119.28,0.83,3.73,2.67,6.62,3.61,0.44,49.33,0.31,1.01,NA,NA,NA,NA,NA,71.83,1.92,157.49,0.00,0.00,120.21,746.22,NA
2022-01-31 00:00:00,47.96,125.11,6.54,7.50,7.47,11.07,5.15,0.82,38.70,0.41,1.74,NA,NA,NA,NA,NA,73.57,1.21,214.16,0.00,0.00,119.20,746.05,NA
2022-02-01 00:00:00,43.06,94.90,4.58,8.15,6.60,11.23,5.09,0.52,35.06,0.43,1.70,NA,NA,NA,NA,NA,72.91,1.26,218.23,0.00,0.00,135.94,749.67,NA
2022-02-02 00:00:00,30.21,87.98,5.20,9.61,12.03,14.85,5.27,0.51,21.03,0.43,1.90,NA,NA,NA,NA,NA,72.04,1.31,228.96,0.00,0.00,147.96,750.61,NA
2022-02-03 00:00:00,19.35,64.77,5.84,6.79,7.53,10.61,2.11,0.40,20.17,0.33,1.87,NA,NA,NA,NA,NA,71.06,1.67,239.96,0.00,0.00,141.69,749.54,NA
2022-02-04 00:00:00,15.26,46.44,NA,4.93,4.14,9.17,NA,0.37,22.51,0.26,1.14,NA,NA,NA,NA,NA,72.97,1.60,240.65,0.00,0.00,136.27,746.83,NA
