Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-01-01 00:00:00,57.68,100.73,2.75,43.66,24.99,11.08,6.08,0.56,23.03,2.54,4.32,1.44,NA,NA,NA,22.01,69.86,0.73,162.75,0.00,0.00,121.12,717.78,-0.02
2022-01-02 00:00:00,59.12,102.00,1.61,44.43,24.41,11.14,4.03,0.56,22.28,2.62,5.38,1.35,NA,NA,NA,22.11,68.87,0.80,141.00,0.00,0.00,129.02,716.65,-0.02
2022-01-03 00:00:00,59.10,107.81,3.31,49.26,28.38,10.62,6.14,0.60,20.16,3.14,6.17,1.69,NA,NA,NA,22.23,63.39,0.86,198.86,0.00,0.00,168.17,716.26,-0.03
2022-01-04 00:00:00,66.78,123.05,6.09,50.52,31.63,11.14,7.56,0.60,23.16,3.26,7.51,2.14,NA,NA,NA,22.03,64.66,0.87,231.58,0.00,0.00,167.17,716.23,-0.03
2022-01-05 00:00:00,64.65,114.49,1.54,40.21,22.23,10.94,4.72,0.53,25.46,2.51,6.20,1.23,NA,NA,NA,21.67,66.03,0.82,283.43,0.00,0.00,155.25,716.01,-0.03
2022-01-06 00:00:00,45.55,88.42,3.95,39.95,23.93,9.41,4.02,0.49,27.13,2.58,4.49,0.97,NA,NA,NA,21.99,65.14,0.35,278.56,0.00,0.00,163.55,715.36,-0.03
2022-01-07 00:00:00,32.47,69.45,2.07,40.30,22.51,9.11,3.69,0.46,23.60,2.05,3.46,1.03,NA,NA,NA,22.41,66.07,0.33,278.96,0.00,0.00,156.58,715.11,-0.03
2022-01-08 00:00:00,22.76,52.33,1.46,30.77,17.45,7.89,3.22,0.38,22.24,1.48,2.77,0.76,NA,NA,NA,22.77,70.12,0.34,272.62,0.00,0.00,116.83,715.33,-0.03
2022-01-09 00:00:00,26.27,61.32,2.64,33.20,19.58,8.71,3.42,0.42,20.54,1.54,2.22,0.68,NA,NA,NA,23.15,68.61,0.62,303.24,0.00,0.00,139.77,714.13,-0.03
2022-01-10 00:00:00,28.31,62.03,1.51,31.87,18.00,8.65,3.45,0.39,20.70,1.55,2.32,0.68,NA,NA,NA,23.30,69.12,1.25,312.08,0.00,0.00,118.14,714.05,-0.03
2022-01-11 00:00:00,26.68,59.41,1.73,32.05,18.40,8.52,2.64,0.33,19.34,1.29,2.79,0.44,NA,NA,NA,22.95,70.00,1.43,286.70,0.00,0.00,139.16,714.08,-0.03
2022-01-12 00:00:00,31.96,65.21,3.22,39.30,23.37,8.90,3.30,0.43,11.76,2.57,10.47,1.44,NA,NA,NA,22.54,73.74,1.24,185.02,0.00,0.00,122.32,713.70,-0.03
2022-01-13 00:00:00,26.64,54.31,1.77,34.31,19.61,8.03,2.87,0.42,16.42,2.00,6.81,1.08,NA,NA,NA,22.56,73.89,1.23,200.28,0.00,0.00,122.66,713.51,-0.03
2022-01-14 00:00:00,22.52,53.20,1.81,35.18,20.07,8.30,3.81,0.35,16.51,1.26,2.20,0.53,NA,NA,NA,22.76,67.25,0.78,308.29,0.00,0.00,133.89,713.58,-0.03
2022-01-15 00:00:00,28.37,61.73,3.51,35.49,21.55,9.35,3.34,0.46,17.50,2.28,4.35,1.28,NA,NA,NA,22.44,71.10,0.86,130.61,0.00,0.00,90.54,714.58,-0.03
2022-01-16 00:00:00,39.70,61.52,1.79,36.03,20.59,9.88,4.12,0.54,15.27,1.80,3.71,0.63,NA,NA,NA,21.42,77.08,1.41,117.35,0.00,0.00,68.21,716.11,-0.03
2022-01-17 00:00:00,35.25,64.64,1.58,38.12,21.48,8.82,3.31,0.45,19.85,1.84,4.07,1.13,NA,NA,NA,22.37,69.77,0.95,147.94,0.00,0.00,91.28,717.17,-0.03
