Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2021-01-01 00:00:00,180.57,458.90,17.26,42.35,36.34,102.59,10.03,1.57,19.04,7.89,21.34,NA,NA,5.04,8.59,NA,78.97,0.36,140.55,NA,NA,59.00,NA,-0.08
2021-01-02 00:00:00,146.71,371.52,6.89,27.41,20.08,102.29,10.05,1.14,13.37,4.42,11.11,NA,NA,3.12,3.34,NA,66.21,0.67,133.31,NA,NA,37.07,NA,0.26
2021-01-03 00:00:00,76.94,190.39,3.11,13.17,8.67,72.79,10.32,0.96,14.67,2.25,7.00,NA,NA,2.40,0.48,NA,83.96,0.91,125.00,NA,NA,32.32,NA,-0.04
2021-01-04 00:00:00,58.12,111.38,8.11,67.60,40.63,96.40,12.79,1.01,12.77,2.06,11.10,NA,NA,2.59,2.29,NA,92.38,0.79,131.10,NA,NA,53.96,NA,0.20
2021-01-05 00:00:00,44.66,86.96,6.89,55.96,38.28,72.92,9.97,1.41,15.82,3.02,12.12,NA,NA,2.56,3.46,NA,90.33,0.75,100.23,NA,NA,37.16,NA,-0.00
2021-01-06 00:00:00,74.92,158.51,12.06,24.95,25.92,62.55,10.87,1.14,18.63,3.80,15.19,NA,NA,3.24,4.67,NA,95.55,0.48,207.27,NA,NA,29.73,NA,0.19
2021-01-07 00:00:00,68.94,158.37,8.75,21.69,20.23,58.19,9.63,1.22,17.04,1.00,8.39,NA,NA,1.21,0.60,NA,88.95,0.77,310.05,NA,NA,57.88,NA,0.23
2021-01-08 00:00:00,67.81,154.24,14.34,15.97,19.97,55.96,10.32,1.30,17.07,1.35,9.29,NA,NA,1.69,1.42,NA,91.84,0.47,195.09,NA,NA,34.39,NA,0.12
2021-01-09 00:00:00,82.81,197.12,14.28,18.89,21.47,64.01,10.39,1.18,21.45,1.79,9.93,NA,NA,1.76,1.02,NA,87.42,0.84,326.73,NA,NA,58.57,NA,-0.00
2021-01-10 00:00:00,72.44,152.12,11.29,14.32,16.65,58.59,9.53,1.00,16.58,0.85,4.73,NA,NA,0.94,0.04,NA,82.77,1.13,312.20,NA,NA,91.18,NA,0.06
2021-01-11 00:00:00,80.95,167.24,10.50,15.17,16.47,63.61,9.83,1.15,24.15,1.22,4.73,NA,NA,1.21,1.25,NA,83.35,1.00,311.21,NA,NA,94.30,NA,-0.07
