Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2021-01-01,68.58600000000001,110.08,13.797999999999998,24.538,36.03,,17.21,1.1300000000000003,31.518,2.246,,,,,1.455,,58.7,0.68,137.86,,0.0,185.03,948.0,
2021-01-02,67.946,109.196,13.912,24.624,36.588,,15.94,1.1039999999999999,26.788,2.1860000000000004,,,,,1.4324999999999999,,55.48,0.7,135.07,,0.0,154.74,948.38,
2021-01-03,84.16600000000001,136.048,16.892500000000002,27.937500000000004,41.9625,,17.63,1.0133333333333334,24.858,2.68,,,,,1.8249999999999997,,56.35,0.66,125.59,,0.0,151.66,946.78,
2021-01-04,72.16400000000002,115.76000000000002,12.568000000000001,23.766,34.808,,15.18,1.0975,28.836000000000002,2.4539999999999997,,,,,1.57,,59.63,0.54,125.1,,0.0,82.91,946.55,
2021-01-05,50.405,81.52999999999999,10.084999999999999,20.501666666666665,29.718333333333334,,13.49,1.084,25.801666666666666,2.122,,,,,1.3375,,61.14,0.43,124.2,,0.0,99.11,947.59,
2021-01-06,40.604285714285716,66.55571428571427,15.037142857142856,24.538571428571426,36.902857142857144,,13.84,1.1883333333333332,26.177142857142858,1.68,,,,,1.2000000000000002,,55.17,0.49,123.38,,0.0,150.47,946.79,
2021-01-07,46.324999999999996,75.66833333333334,11.187999999999999,30.336000000000002,30.712,,11.94,1.218,22.304999999999996,1.5219999999999998,,,,,1.2275,,65.75,0.49,126.2,,0.0,131.96,945.48,
2021-01-08,30.150000000000002,50.455000000000005,14.332857142857145,21.92571428571429,33.082857142857144,,6.94,1.1366666666666667,19.654285714285713,1.4516666666666669,,,,,1.5240000000000002,,75.42,0.49,126.0,,0.0,87.31,945.19,
2021-01-09,49.52000000000001,83.69833333333334,13.875714285714286,21.51857142857143,32.714285714285715,,12.12,1.4633333333333332,20.788571428571426,1.7783333333333333,,,,,2.7775000000000003,,71.35,0.56,127.38,,0.0,97.76,945.78,
2021-01-10,40.79,69.95333333333333,12.793333333333335,28.74333333333333,33.98333333333333,,11.15,1.4083333333333332,23.325714285714287,1.7166666666666666,,,,,2.1750000000000003,,65.08,0.59,127.99,,0.0,184.41,946.61,
2021-01-11,48.26571428571428,82.5142857142857,11.735000000000001,21.39,32.085,,11.11,1.2899999999999998,20.69,1.8516666666666666,,,,,2.1149999999999998,,60.16,0.59,131.7,,0.0,131.89,947.9,
2021-01-12,63.274444444444434,109.91888888888887,18.52375,27.25,42.2925,,15.01,1.565,21.395555555555557,1.6585714285714281,,,,,1.954,,59.21,0.58,143.8,,0.0,128.41,948.66,
2021-01-13,63.83285714285713,108.17714285714284,22.095,32.8275,55.73374999999999,,11.85,1.3242857142857143,21.706249999999997,4.347142857142857,,,,,3.4783333333333335,,55.01,0.64,142.52,,0.0,181.15,948.06,
2021-01-14,52.08142857142857,88.78142857142858,16.574285714285715,31.891428571428573,40.38714285714286,,11.43,1.1416666666666668,21.32,2.43,,,,,3.8779999999999992,,56.63,0.62,141.08,,0.0,199.12,947.69,
2021-01-15,52.25,87.91666666666667,13.314285714285713,29.96571428571428,40.645714285714284,,10.11,0.9966666666666666,28.369999999999997,3.625,,,,,2.026,,53.65,0.59,151.05,,0.0,207.07,946.33,
2021-01-16,62.05166666666667,104.00333333333333,15.942857142857145,32.10142857142857,45.92714285714285,,12.41,1.2466666666666668,25.15285714285714,3.6916666666666664,,,,,2.755,,63.27,0.51,169.32,,0.0,46.41,945.41,
2021-01-17,53.66,91.8875,16.886,35.763999999999996,48.242000000000004,,8.025,1.37,26.424,4.3325000000000005,,,,,4.29,,52.98,0.57,165.14,,0.0,185.3,945.88,
2021-01-18,61.80666666666667,104.67999999999999,16.937142857142856,31.50857142857143,44.57714285714286,,8.875,1.1966666666666668,30.73428571428571,3.9466666666666668,,,,,2.6775,,54.3,0.57,135.09,,0.0,183.63,947.28,
2021-01-19,60.724999999999994,101.93666666666667,15.074285714285713,34.93714285714286,47.38142857142857,,9.225,1.2266666666666666,31.775714285714283,3.823333333333333,,,,,2.8149999999999995,,57.91,0.52,120.24,,0.0,119.46,947.76,
2021-01-20,49.54,85.75999999999999,15.645714285714286,27.601428571428574,39.57285714285714,,7.665,1.1,20.612857142857145,3.24,,,,,2.365,,52.42,0.54,124.7,,0.0,160.76,948.34,
2021-01-21,39.555,67.47,15.078571428571427,34.294285714285714,37.885714285714286,,6.085,0.9633333333333333,16.624285714285712,2.5833333333333335,,,,,1.875,,49.99,0.5,119.91,,0.0,236.47,947.98,
2021-01-22,64.78166666666667,109.78833333333334,21.26571428571429,44.72428571428571,52.00571428571429,,9.209999999999999,1.1283333333333332,18.51571428571429,2.703333333333333,,,,,2.095,,51.62,0.48,109.37,,0.0,222.91,947.69,
2021-01-23,74.83166666666666,127.51666666666665,16.135,48.065,47.755,,9.36,1.1733333333333333,22.025714285714287,3.7366666666666664,,,,,2.7699999999999996,,51.1,0.47,109.95,,0.0,224.12,947.52,
2021-01-24,55.76333333333332,95.75166666666667,14.251428571428571,39.68571428571429,42.96142857142858,,9.285,1.0942857142857143,24.378571428571433,2.5216666666666665,,,,,1.7433333333333332,,43.49,0.47,118.75,,0.0,237.06,948.34,
