Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,89.36,180.18,6.12,10.01,15.82,11.54,2.7,0.57,8.8,,,,,,,21.07,67.79,0.4,231.26,0.0,0.0,,,
2024-01-02,77.0,160.27,6.06,10.21,15.96,11.51,2.77,0.41,8.38,,,,,,,19.48,74.83,0.69,213.7,0.0,0.0,,,
2024-01-03,73.88,151.01,5.99,10.16,15.85,11.47,2.82,0.42,7.27,,,,,,,18.88,67.43,0.82,202.86,0.0,0.0,,,
2024-01-04,62.64,127.25,5.95,10.06,15.72,11.55,2.78,0.47,7.04,,,,,,,18.38,65.87,0.76,220.62,0.0,0.0,,,
2024-01-05,76.95,152.3,5.88,10.13,15.7,11.53,2.23,0.71,7.08,,,,,,,18.27,55.74,0.65,208.71,0.0,0.0,,,
2024-01-06,56.61,114.9,5.85,10.25,15.8,11.47,1.28,0.47,7.28,,,,,,,17.49,62.22,1.03,197.74,0.0,0.0,,,
2024-01-07,51.37,107.45,6.0,10.14,15.85,11.51,1.27,0.39,8.63,,,,,,,18.65,65.66,1.12,239.96,0.0,0.0,,,
2024-01-08,59.5,120.45,6.03,9.95,15.67,11.63,2.6,0.59,8.07,,,,,,,20.0,72.95,0.81,231.08,0.0,0.0,,,
2024-01-09,67.92,138.18,5.74,9.96,15.4,11.64,4.61,0.56,8.04,,,,,,,21.48,60.15,0.42,290.34,0.0,0.0,,,
2024-01-10,72.13,144.61,6.03,10.04,15.78,11.6,4.49,0.82,7.79,,,,,,,20.04,67.84,0.87,219.38,0.0,0.0,,,
2024-01-11,62.37,127.37,6.08,10.11,15.89,11.44,3.7,0.82,7.75,,,,,,,20.6,68.5,0.64,238.08,0.0,0.0,,,
2024-01-12,65.26,129.95,5.73,10.0,15.42,11.61,4.32,0.73,7.1,,,,,,,21.69,63.43,0.31,252.92,0.0,0.0,,,
2024-01-13,68.29,132.57,5.91,10.07,15.68,11.55,3.9,0.85,6.05,,,,,,,21.59,52.67,0.25,189.39,0.0,0.0,,,
2024-01-14,62.85,121.24,5.95,10.12,15.77,11.51,4.23,0.49,6.69,,,,,,,20.03,39.5,0.24,159.73,0.0,0.0,,,
2024-01-15,62.34,122.36,5.56,10.16,15.42,11.53,3.55,0.67,7.04,,,,,,,19.34,46.22,0.22,234.78,0.0,0.0,,,
2024-01-16,78.76,151.57,5.96,9.94,15.6,11.56,4.65,0.93,7.21,,,,,,,19.78,45.24,0.23,150.61,0.0,0.0,,,
