Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-01-01 00:00:00,44.88,94.78,6.28,4.74,11.02,31.02,4.47,0.45,10.04,NA,NA,NA,NA,NA,NA,19.71,60.69,0.74,260.32,0.00,0.00,NA,NA,NA
2022-01-02 00:00:00,50.56,110.54,13.11,13.79,20.48,32.91,4.41,0.48,10.60,NA,NA,NA,NA,NA,NA,21.09,65.25,0.62,212.03,0.00,0.00,NA,NA,NA
2022-01-03 00:00:00,67.59,140.57,8.59,4.93,13.39,31.38,5.20,0.57,10.29,NA,NA,NA,NA,NA,NA,21.49,65.74,0.61,240.99,0.00,0.00,NA,NA,NA
2022-01-04 00:00:00,72.61,145.28,21.09,29.02,42.69,46.34,4.62,0.64,8.81,NA,NA,NA,NA,NA,NA,22.11,64.33,0.44,286.58,0.00,0.00,NA,NA,NA
2022-01-05 00:00:00,90.55,183.45,16.24,7.77,20.55,33.92,4.61,0.63,8.66,NA,NA,NA,NA,NA,NA,22.84,64.62,0.49,236.42,0.00,0.00,NA,NA,NA
2022-01-06 00:00:00,47.76,97.08,18.18,5.63,22.10,32.89,5.51,0.55,4.38,NA,NA,NA,NA,NA,NA,18.61,87.63,0.24,245.03,0.03,2.80,NA,NA,NA
2022-01-07 00:00:00,39.39,80.62,29.65,8.66,34.84,33.45,4.65,0.49,4.87,NA,NA,NA,NA,NA,NA,19.67,73.82,0.39,236.93,0.00,0.00,NA,NA,NA
2022-01-08 00:00:00,34.00,82.70,NA,33.10,236.42,114.15,0.42,0.33,6.92,NA,NA,NA,NA,NA,NA,19.36,47.27,0.85,298.64,0.00,0.00,NA,NA,NA
2022-01-09 00:00:00,38.22,78.90,14.77,17.01,42.35,34.07,4.09,0.15,8.07,NA,NA,NA,NA,NA,NA,16.74,51.61,0.68,258.46,0.00,0.00,NA,NA,NA
2022-01-10 00:00:00,42.85,87.39,13.10,8.94,16.74,35.15,4.57,0.19,7.69,NA,NA,NA,NA,NA,NA,15.97,52.87,0.65,218.72,0.00,0.00,NA,NA,NA
2022-01-11 00:00:00,42.34,86.36,12.47,9.78,16.79,35.17,5.38,0.16,8.99,NA,NA,NA,NA,NA,NA,16.30,49.80,0.84,221.72,0.00,0.00,NA,NA,NA
2022-01-12 00:00:00,50.60,105.99,13.20,10.42,17.86,36.99,6.03,0.21,9.00,NA,NA,NA,NA,NA,NA,15.70,52.12,0.73,150.67,0.00,0.00,NA,NA,NA
2022-01-13 00:00:00,46.27,92.44,10.23,8.02,15.04,32.91,6.75,0.28,9.38,NA,NA,NA,NA,NA,NA,16.08,48.15,0.90,116.83,0.00,0.00,NA,NA,NA
2022-01-14 00:00:00,56.45,115.90,4.44,4.52,8.47,31.29,7.61,0.39,10.27,NA,NA,NA,NA,NA,NA,16.14,47.36,0.73,213.34,0.00,0.00,NA,NA,NA
2022-01-15 00:00:00,47.19,96.52,2.30,3.31,4.08,30.74,5.89,0.35,11.55,NA,NA,NA,NA,NA,NA,17.03,48.01,0.79,171.44,0.00,0.00,NA,NA,NA
2022-01-16 00:00:00,43.93,91.86,5.17,6.55,9.58,33.31,5.54,0.36,14.27,NA,NA,NA,NA,NA,NA,18.07,55.37,0.92,192.02,0.00,0.00,NA,NA,NA
2022-01-17 00:00:00,82.14,162.01,3.35,4.03,7.09,30.91,6.84,0.58,9.92,NA,NA,NA,NA,NA,NA,18.89,61.34,0.64,240.86,0.00,0.00,NA,NA,NA
2022-01-18 00:00:00,90.65,175.30,3.93,4.13,7.65,31.14,7.33,0.85,8.13,NA,NA,NA,NA,NA,NA,19.75,59.25,0.41,222.70,0.00,0.00,NA,NA,NA
2022-01-19 00:00:00,89.70,174.77,12.19,15.81,30.46,40.66,7.05,1.01,8.68,NA,NA,NA,NA,NA,NA,20.69,50.76,0.47,156.36,0.00,0.00,NA,NA,NA
2022-01-20 00:00:00,78.40,151.27,12.96,12.93,17.21,36.04,5.38,0.92,5.66,NA,NA,NA,NA,NA,NA,20.36,60.04,0.46,194.35,0.00,0.00,NA,NA,NA
2022-01-21 00:00:00,56.93,113.81,3.98,4.79,8.06,31.25,4.54,0.53,5.10,NA,NA,NA,NA,NA,NA,21.28,80.42,0.76,354.82,0.00,0.00,NA,NA,NA
2022-01-22 00:00:00,65.40,129.21,3.96,4.31,7.99,30.93,4.74,0.38,9.44,NA,NA,NA,NA,NA,NA,21.61,61.03,1.12,172.93,0.00,0.00,NA,NA,NA
2022-01-23 00:00:00,141.80,262.63,3.91,4.16,7.64,31.61,5.31,0.38,10.01,NA,NA,NA,NA,NA,NA,16.67,45.49,0.80,185.36,0.00,0.00,NA,NA,NA
