Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-11-01,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-02,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-03,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-04,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-05,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-06,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-07,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-08,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-09,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-10,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-11,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-12,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-13,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-14,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-15,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-16,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-17,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-18,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-19,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-20,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-21,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-22,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-23,81.54,176.92,9.57,8.51,15.86,45.52,16.48,1.19,123.51,3.08,2.26,,,0.01,,21.95,43.53,0.37,332.46,,,221.24,,
2022-11-24,82.23,196.58,9.93,9.82,16.85,45.36,15.15,1.65,61.69,2.54,3.57,,,0.01,,15.38,65.96,0.19,233.6,,,37.91,,
2022-11-25,71.935,169.87,7.0,9.805,14.465,45.25,11.235,1.26,85.77000000000001,2.15,2.715,,,0.02,,16.1,55.675,0.31000000000000005,307.155,,,97.23,,
2022-11-26,70.27,164.76,7.14,9.67,14.51,45.35,10.19,1.19,82.36,1.9,0.86,,,,,15.23,56.9,0.27,281.29,,,92.85,,
2022-11-27,76.1,177.75,8.39,9.89,15.64,45.43,10.91,1.34,69.71,2.56,1.95,,,,,15.31,62.56,0.21,274.44,,,91.36,,
2022-11-28,94.88,198.93,8.92,9.85,16.04,45.57,12.94,1.34,71.45,3.14,2.51,,,0.01,,15.93,67.02,0.25,303.47,,,87.29,,
2022-11-29,91.42,206.91,8.36,7.43,14.31,46.12,7.61,1.16,76.97,3.03,1.99,,,0.01,,16.99,65.16,0.3,321.83,,,85.69,,
2022-11-30,78.33,173.61,8.57,3.88,12.59,47.6,7.71,0.95,64.69,3.35,3.81,,,0.01,0.02,17.87,66.04,0.27,320.95,,,94.91,,
2022-12-01,80.71,180.42,7.29,4.6,11.93,47.48,8.57,1.0,60.43,3.47,3.24,,,0.01,0.02,17.72,68.19,0.25,308.59,,,100.49,,
2022-12-02,111.07,216.98,9.33,4.01,13.27,47.57,8.23,1.15,58.8,3.52,3.35,,,0.01,0.01,16.79,69.35,0.2,276.52,,,95.66,,
2022-12-03,119.81,238.97,7.66,4.45,12.15,47.31,7.62,1.12,46.45,2.78,2.3,,,,0.01,14.67,74.44,0.23,304.78,,,104.26,,
2022-12-04,138.07,253.92,11.12,3.37,14.32,47.7,13.11,1.16,60.07,2.87,2.57,,,,0.01,15.56,69.39,0.24,280.63,,,86.77,,
2022-12-05,124.48,233.85,9.71,3.22,13.16,47.54,8.73,0.99,56.71,2.4,1.98,,,,0.01,15.06,67.38,0.3,320.24,,,90.82,,
2022-12-06,112.87,208.93,9.61,3.52,13.24,47.44,7.89,1.01,71.73,2.46,1.85,,,,,16.52,63.08,0.32,294.91,,,89.04,,
2022-12-07,114.77,225.37,6.85,5.3,11.95,47.4,7.5,1.09,73.05,2.64,2.17,,,,,18.71,63.24,0.24,292.37,,,73.86,,
2022-12-08,96.02,207.91,9.05,3.65,12.86,47.61,8.66,0.93,79.64,2.2,1.46,,,,,18.39,61.12,0.3,311.05,,,65.78,,
2022-12-09,91.46,207.56,7.18,5.48,12.3,47.45,9.97,1.14,84.53,2.57,2.46,,,,,19.11,60.6,0.27,300.48,,,88.93,,
2022-12-10,107.89,220.47,8.05,5.82,13.2,47.57,11.43,1.15,65.68,3.55,4.48,,,0.01,0.01,20.45,64.1,0.23,285.78,,,57.77,,
2022-12-11,114.7,229.03,8.79,5.04,13.39,47.65,11.18,1.26,74.89,3.81,5.8,,,0.01,0.02,21.96,62.47,0.16,225.58,,,82.66,,
2022-12-12,109.11,216.32,8.71,4.64,13.11,47.6,10.1,1.26,68.43,3.34,6.11,,,,0.01,21.23,63.37,0.19,250.8,,,88.98,,
2022-12-13,77.84,172.37,8.47,4.98,13.09,47.49,10.73,1.12,58.43,3.43,6.92,,,,0.01,22.52,59.65,0.18,221.94,,,95.27,,
2022-12-14,68.91,160.38,9.02,4.27,13.16,47.55,9.02,1.22,45.97,3.3,5.96,,,,0.01,21.5,58.06,0.2,232.84,,,93.14,,
2022-12-15,69.49,163.25,9.75,3.03,13.1,47.59,9.89,0.93,60.56,2.55,6.04,,,,0.01,21.19,55.98,0.21,249.75,,,85.88,,
2022-12-16,76.1,176.94,8.99,3.79,12.88,47.56,9.05,0.97,65.51,2.61,4.38,,,,,19.79,60.68,0.22,262.67,,,85.74,,
2022-12-17,84.45,181.11,8.58,3.85,12.58,47.54,8.92,1.03,78.51,2.32,3.19,,,,,18.51,60.5,0.29,291.94,,,102.13,,
2022-12-18,89.35,172.66,7.6,4.26,12.0,47.57,7.16,1.0,77.75,2.31,3.48,,,,,18.48,62.42,0.22,260.49,,,125.06,,
2022-12-19,100.95,188.26,10.51,3.32,13.87,47.77,7.36,1.13,66.98,3.01,5.41,,,,0.01,19.08,63.86,0.23,270.79,,,110.9,,
2022-12-20,91.97,194.59,8.27,3.76,12.28,47.74,8.59,1.1,76.93,3.21,5.82,,,,0.01,18.93,64.48,0.24,272.15,,,118.98,,
2022-12-21,119.35,219.77,8.35,4.95,12.98,47.67,7.78,1.13,77.24,3.44,6.61,,,0.01,0.02,18.72,66.1,0.23,294.15,,,133.58,,
2022-12-22,116.21,208.27,8.59,4.48,12.92,47.71,7.05,1.33,67.07,3.55,6.57,,,0.01,0.02,18.93,65.28,0.23,273.09,,,109.66,,
2022-12-23,81.76,158.51,8.93,4.08,12.98,47.69,9.16,1.06,73.64,3.08,6.05,,,0.01,0.02,19.54,58.69,0.22,246.22,,,112.02,,
2022-12-24,75.92,150.8,9.64,3.05,13.01,47.79,8.46,0.9,97.94,2.87,4.7,,,0.01,0.01,22.17,59.85,0.22,211.05,,,93.01,,
2022-12-25,75.41,155.5,7.31,4.06,11.65,47.67,7.13,0.83,65.16,3.19,6.5,,,0.02,0.02,21.7,68.98,0.19,204.02,,,86.51,,
2022-12-26,63.55,132.97,10.02,3.35,13.49,47.87,9.53,1.05,65.45,3.35,10.13,,,0.03,0.04,22.06,72.2,0.22,206.25,,,89.33,,
2022-12-27,67.87,138.14,10.36,2.95,13.55,47.85,6.0,1.24,37.43,4.86,15.71,,,0.05,0.09,21.65,79.24,0.18,233.49,,,77.44,,
