Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-01-01 00:00:00,253.50,379.13,47.16,36.71,57.25,95.92,11.85,1.61,22.19,7.52,6.33,NA,NA,3.04,5.63,NA,81.91,0.27,206.18,NA,NA,78.86,NA,0.15
2022-01-02 00:00:00,293.33,406.57,44.22,38.94,56.09,95.66,9.35,1.54,20.99,7.50,6.69,NA,NA,3.04,5.91,NA,80.18,0.28,208.47,NA,NA,75.71,NA,0.12
2022-01-03 00:00:00,238.23,381.27,54.44,38.79,64.19,107.45,11.48,1.76,22.31,7.55,7.55,NA,NA,2.07,6.44,NA,79.17,0.30,209.28,NA,NA,83.54,NA,0.11
2022-01-04 00:00:00,244.42,376.91,68.86,40.03,76.36,113.76,12.86,1.67,15.55,8.31,11.18,NA,NA,2.76,7.94,NA,71.83,0.24,183.00,NA,NA,64.50,NA,0.16
2022-01-05 00:00:00,265.76,442.37,107.25,42.31,106.76,140.28,9.13,2.15,11.86,15.90,25.94,NA,NA,7.37,14.60,NA,92.02,0.58,144.47,NA,NA,15.14,NA,-0.00
2022-01-06 00:00:00,103.43,199.66,7.97,27.94,21.11,63.53,10.97,0.82,15.34,3.11,2.96,NA,NA,1.09,1.58,NA,84.31,0.76,142.05,NA,NA,64.05,NA,0.12
2022-01-07 00:00:00,59.77,142.35,3.23,24.23,15.28,51.39,9.10,0.65,17.87,2.45,1.76,NA,NA,0.92,0.95,NA,85.88,1.58,154.99,NA,NA,37.05,NA,0.20
2022-01-08 00:00:00,42.23,80.45,3.63,24.87,16.03,46.26,9.55,0.73,12.72,2.25,2.13,NA,NA,0.97,0.78,NA,96.36,1.13,133.08,NA,NA,17.13,NA,-0.09
2022-01-09 00:00:00,46.83,86.41,4.16,20.67,14.18,40.44,9.29,0.90,8.83,2.32,1.97,NA,NA,0.86,0.55,NA,97.96,0.53,270.70,NA,NA,17.68,NA,-0.12
2022-01-10 00:00:00,93.31,145.90,19.13,25.70,28.95,44.42,9.10,1.05,10.01,3.20,4.32,NA,NA,1.55,2.53,NA,90.90,0.43,265.59,NA,NA,72.85,NA,0.06
2022-01-11 00:00:00,102.30,149.78,18.67,27.71,29.61,43.82,9.20,0.91,10.11,3.18,4.15,NA,NA,1.46,2.17,NA,87.82,0.60,281.64,NA,NA,97.82,NA,0.20
2022-01-12 00:00:00,81.13,153.82,38.57,26.47,44.74,48.00,10.07,1.25,8.02,3.21,3.48,NA,NA,1.76,3.05,NA,86.98,0.30,226.85,NA,NA,79.41,NA,0.01
2022-01-13 00:00:00,140.86,289.45,38.57,33.89,48.86,59.83,9.82,1.28,4.78,5.38,10.79,NA,NA,3.80,5.79,NA,92.48,0.35,145.89,NA,NA,19.62,NA,0.00
2022-01-14 00:00:00,166.92,354.74,32.99,32.56,43.71,55.22,8.69,1.06,6.16,4.38,12.44,NA,NA,2.85,4.20,NA,94.91,0.38,191.46,NA,NA,41.94,NA,0.12
2022-01-15 00:00:00,53.69,164.60,5.32,25.03,17.54,39.32,6.31,0.62,14.41,2.40,5.60,NA,NA,2.01,1.28,NA,92.22,0.47,285.40,NA,NA,25.68,NA,0.20
2022-01-16 00:00:00,73.42,183.42,5.63,23.65,17.05,46.93,6.68,0.77,15.94,2.62,4.91,NA,NA,1.98,1.53,NA,85.27,0.42,178.59,NA,NA,74.79,NA,0.23
2022-01-17 00:00:00,69.67,269.16,8.98,33.13,24.83,55.20,6.92,0.67,15.26,3.02,5.09,NA,NA,3.02,2.80,NA,89.01,0.46,221.36,NA,NA,55.38,NA,0.17
2022-01-18 00:00:00,69.17,292.72,7.28,30.35,21.95,52.90,7.39,0.75,14.78,2.97,7.17,NA,NA,2.67,2.28,NA,85.29,0.58,271.04,NA,NA,67.59,NA,0.19
2022-01-19 00:00:00,160.26,272.93,10.60,28.45,23.57,62.03,8.33,0.94,17.06,3.75,9.74,NA,NA,3.19,3.14,NA,87.82,0.43,200.87,NA,NA,65.44,NA,0.07
2022-01-20 00:00:00,269.48,353.78,18.95,36.44,34.49,75.16,8.68,1.06,13.73,4.37,10.16,NA,NA,4.30,4.94,NA,89.00,0.52,141.66,NA,NA,60.63,NA,0.16
2022-01-21 00:00:00,230.91,310.70,27.20,34.02,39.80,75.20,8.79,1.10,16.05,4.40,9.79,NA,NA,4.78,5.72,NA,88.62,0.39,180.29,NA,NA,68.67,NA,0.08
2022-01-22 00:00:00,120.91,186.07,3.35,27.55,17.19,60.95,6.99,0.89,6.71,2.62,3.59,NA,NA,1.93,1.07,NA,92.38,1.49,137.46,NA,NA,18.98,NA,-0.11
2022-01-23 00:00:00,87.10,182.95,9.14,22.05,18.92,58.26,7.78,0.81,6.67,2.41,4.02,NA,NA,1.94,1.41,NA,90.28,0.66,218.62,NA,NA,39.82,NA,0.08
2022-01-24 00:00:00,94.44,176.84,17.94,25.23,27.75,53.04,6.75,0.87,6.80,2.80,7.73,NA,NA,2.88,2.89,NA,88.31,0.29,205.29,NA,NA,45.36,NA,0.11
2022-01-25 00:00:00,136.08,240.66,41.02,27.02,47.18,55.65,7.45,1.19,8.11,3.99,13.72,NA,NA,3.61,6.76,NA,93.67,0.38,243.87,NA,NA,22.38,NA,0.14
2022-01-26 00:00:00,148.65,277.95,26.28,28.30,36.05,49.44,8.65,1.18,15.32,3.44,5.85,NA,NA,2.58,4.35,NA,89.81,0.40,259.91,NA,NA,72.69,NA,0.15
2022-01-27 00:00:00,130.10,231.62,12.73,37.55,30.12,45.07,8.06,1.02,17.13,2.88,5.76,NA,NA,2.33,2.79,NA,79.99,0.56,267.80,NA,NA,110.12,NA,0.12
2022-01-28 00:00:00,126.12,253.91,25.47,40.00,41.62,46.57,8.68,1.28,17.38,3.23,6.44,NA,NA,2.74,5.44,NA,71.13,0.61,263.26,NA,NA,119.57,NA,0.16
2022-01-29 00:00:00,111.85,279.36,32.19,44.93,49.12,52.47,9.86,1.14,16.71,3.56,11.68,NA,NA,4.00,7.53,NA,71.85,0.39,238.28,NA,NA,117.59,NA,0.14
2022-01-30 00:00:00,139.01,204.43,13.39,43.47,33.72,57.12,9.49,1.09,20.75,3.08,7.19,NA,NA,3.13,5.35,NA,73.99,0.57,273.65,NA,NA,114.26,NA,0.14
2022-01-31 00:00:00,139.56,214.24,21.38,47.72,42.39,61.72,9.59,1.16,20.78,4.10,9.60,NA,NA,3.83,5.78,NA,80.48,0.49,138.27,NA,NA,100.75,NA,0.11
2022-02-01 00:00:00,138.09,214.65,34.31,39.09,48.18,68.88,10.39,1.43,15.30,5.31,18.93,NA,NA,4.95,8.13,NA,91.81,0.40,252.93,NA,NA,75.07,NA,0.14
2022-02-02 00:00:00,114.38,214.65,3.16,35.55,21.23,55.15,9.22,1.00,29.42,2.70,4.60,NA,NA,1.66,1.86,NA,79.40,0.70,215.92,NA,NA,87.83,NA,0.12
2022-02-03 00:00:00,174.38,264.06,3.50,29.38,18.13,53.38,11.17,0.81,22.45,2.53,3.14,NA,NA,1.39,1.00,NA,87.33,1.64,156.79,NA,NA,20.00,NA,0.14
2022-02-04 00:00:00,66.10,134.48,9.40,29.62,23.23,49.16,9.00,0.91,17.06,2.48,10.28,NA,NA,3.16,4.55,NA,85.85,0.67,282.70,NA,NA,67.68,NA,0.10
2022-02-05 00:00:00,100.16,134.87,75.20,33.20,77.11,70.76,10.86,1.62,13.16,6.95,40.93,NA,NA,10.75,17.94,NA,89.46,0.34,198.25,NA,NA,76.68,NA,0.14
2022-02-06 00:00:00,102.73,145.05,90.39,38.28,92.57,76.29,9.96,1.55,18.16,8.01,35.00,NA,NA,12.09,22.60,NA,74.78,0.27,179.46,NA,NA,120.06,NA,0.13
2022-02-07 00:00:00,77.12,234.08,11.30,45.86,33.23,54.57,10.29,1.03,21.92,3.71,12.27,NA,NA,5.28,7.16,NA,68.69,0.54,177.03,NA,NA,110.44,NA,0.13
2022-02-08 00:00:00,116.97,275.02,30.74,49.20,50.69,66.35,10.26,1.41,18.19,6.82,26.89,NA,NA,9.55,15.12,NA,76.48,0.31,148.43,NA,NA,87.47,NA,0.09
