Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,44.17,17.43,15.37,19.12,17.57,15.01,5.13,0.99,2.31,7.13,13.12,3.07,,,,23.41,62.9,0.86,297.29,0.0,0.0,133.37,714.6,-0.03
2024-01-02,48.02,97.07,8.7,23.5,15.0,19.24,6.55,0.99,2.52,7.45,13.42,3.21,,,,23.35,64.24,1.11,295.57,0.0,0.0,128.45,714.17,-0.03
2024-01-03,51.31,106.0,7.26,17.84,11.39,14.61,4.99,1.1,2.02,6.89,10.33,2.63,,,,23.41,63.66,1.27,300.21,0.0,0.0,123.36,713.68,-0.04
2024-01-04,45.82,94.96,7.05,15.58,9.95,12.77,4.33,1.36,2.08,7.42,11.49,3.54,,,,23.62,63.56,1.26,304.69,0.0,0.0,125.34,713.77,-0.04
2024-01-05,33.04,78.65,2.69,20.57,12.78,16.85,5.7,1.07,3.07,6.97,12.15,4.08,,,,23.48,59.62,1.5,303.2,0.0,0.0,90.39,713.67,-0.03
2024-01-06,23.67,69.51,8.03,23.12,14.76,18.93,6.45,0.68,3.68,5.88,11.9,3.03,,,,23.68,58.81,1.67,296.88,0.0,0.0,134.27,714.0,-0.02
2024-01-07,27.05,64.95,7.43,17.57,11.22,14.4,4.94,0.72,3.48,6.18,10.61,1.99,,,,23.74,62.09,1.74,290.38,0.0,0.0,125.51,714.53,-0.03
2024-01-08,29.48,73.54,7.79,19.74,12.6,16.17,5.55,0.74,3.65,5.92,10.15,2.25,,,,23.77,60.57,1.58,298.02,0.0,0.0,121.9,715.14,-0.03
2024-01-09,43.01,92.82,8.44,20.9,13.35,17.12,5.89,0.93,3.78,7.73,13.7,3.14,,,,24.04,60.33,1.46,297.14,0.0,0.0,92.86,715.15,-0.02
2024-01-10,47.27,107.81,7.67,17.71,11.29,14.5,5.01,0.99,3.51,9.11,19.48,5.57,,,,23.63,62.26,0.78,300.9,0.0,0.0,63.04,714.74,-0.02
2024-01-11,40.09,100.91,7.65,20.62,13.17,16.88,5.76,0.98,3.62,10.32,23.72,7.98,,,,24.87,53.99,0.94,296.26,0.0,0.0,130.31,714.92,-0.03
2024-01-12,45.14,98.1,8.96,21.29,13.59,17.44,5.96,0.74,3.79,9.42,22.85,6.17,,,,24.81,57.71,0.93,295.06,0.0,0.0,147.56,714.41,-0.03
2024-01-13,44.34,105.64,2.81,21.56,13.4,17.66,6.35,0.68,3.35,1.23,1.52,2.33,,,,26.29,50.82,1.08,230.98,0.0,0.0,148.65,715.14,-0.02
2024-01-14,46.03,138.23,9.06,20.07,12.81,16.43,5.66,0.91,3.47,1.71,1.35,3.87,,,,24.73,57.52,0.85,218.48,0.0,0.0,125.8,714.87,-0.03
2024-01-15,36.88,,9.98,21.36,13.64,17.5,6.0,0.94,3.49,1.73,1.36,3.91,,,,24.82,56.68,0.71,203.18,0.0,0.0,131.58,714.17,-0.02
2024-01-16,37.13,75.76,8.57,17.89,11.42,14.65,5.01,0.67,3.51,1.73,1.35,3.9,,,,25.13,60.45,1.02,287.81,0.0,0.0,142.87,713.08,-0.03
2024-01-17,29.06,68.59,7.94,19.85,12.67,16.26,5.57,0.72,3.66,1.8,1.42,4.06,,,,24.78,57.98,1.36,288.7,0.0,0.0,135.76,712.74,-0.03
2024-01-18,21.14,57.05,7.74,18.05,11.51,14.78,5.03,0.56,3.61,1.77,1.39,4.01,,,,24.63,54.6,1.4,284.84,0.0,0.0,121.71,713.36,-0.03
2024-01-19,22.5,66.79,7.46,15.64,9.98,12.81,4.39,0.77,3.67,1.8,1.41,4.08,,,,24.98,57.16,1.15,280.51,0.0,0.0,132.5,713.8,-0.03
2024-01-20,18.9,54.16,7.65,17.14,10.94,14.05,4.77,0.62,3.76,1.85,1.45,4.18,,,,25.21,53.52,1.56,291.01,0.0,0.0,133.45,714.3,-0.03
2024-01-21,18.73,51.76,7.79,17.86,11.4,14.63,5.0,0.62,3.79,1.86,1.46,4.21,,,,25.23,56.83,1.27,277.99,0.0,0.0,135.12,714.34,-0.04
2024-01-22,20.92,61.01,7.71,17.83,11.39,14.61,5.01,0.73,3.57,1.76,1.39,3.99,,,,25.39,59.39,1.26,285.46,0.0,0.0,141.31,714.84,-0.05
2024-01-23,19.97,61.72,7.78,18.48,11.79,15.14,5.16,0.64,3.82,1.88,1.48,4.24,,,,25.32,58.82,1.42,283.2,0.0,0.0,143.2,714.27,-0.06
2024-01-24,30.93,80.25,8.41,22.79,14.55,18.66,6.34,0.81,3.82,1.88,1.48,4.27,,,,25.02,62.7,1.35,189.25,0.0,0.0,131.19,714.39,-0.06
2024-01-25,51.32,115.69,9.48,31.22,19.93,25.57,8.69,0.87,3.76,1.85,1.45,4.19,,,,24.49,58.33,1.35,255.61,0.0,0.0,125.86,715.89,-0.06
2024-01-26,34.72,84.62,9.7,33.08,21.12,27.1,9.16,0.85,3.73,1.84,1.45,4.16,,,,24.54,55.44,1.41,275.82,0.0,0.0,123.23,716.97,-0.05
2024-01-27,34.0,84.22,7.74,18.2,11.62,14.92,5.1,0.97,3.78,1.86,1.46,4.2,,,,24.28,62.53,1.28,284.64,0.0,0.0,132.92,717.17,-0.05
2024-01-28,34.81,82.2,8.53,24.11,15.4,19.75,6.73,0.8,3.61,1.78,1.4,4.03,,,,24.15,56.33,1.15,295.58,0.0,0.0,153.26,716.7,-0.06
2024-01-29,34.12,83.06,8.46,23.24,14.83,19.04,6.48,0.78,3.65,1.79,1.41,4.06,,,,24.11,58.0,1.32,289.94,0.0,0.0,141.53,716.21,-0.05
2024-01-30,30.53,79.53,8.33,22.59,14.42,18.51,6.29,0.82,3.81,1.87,1.47,4.24,,,,24.41,53.73,1.21,291.78,0.0,0.0,147.81,715.44,-0.06
2024-01-31,20.96,63.19,8.31,21.2,13.54,17.36,5.95,0.71,3.75,1.85,1.45,4.18,,,,25.02,49.0,1.38,291.59,0.0,0.0,154.61,714.75,-0.05
2024-02-01,21.16,67.76,8.1,20.3,12.96,16.64,5.72,0.67,3.81,1.87,1.47,4.24,,,,24.99,53.44,1.37,276.07,0.0,0.0,154.66,714.6,-0.06
2024-02-02,26.41,74.64,7.82,18.05,11.52,14.79,5.04,0.81,3.9,1.91,1.5,4.33,,,,25.45,59.35,0.86,245.24,0.0,0.0,146.05,714.79,-0.05
2024-02-03,22.14,66.71,7.58,16.55,10.57,13.56,4.61,0.72,3.63,1.8,1.41,4.07,,,,25.55,61.86,1.28,282.15,0.0,0.0,145.75,715.71,-0.05
2024-02-04,28.99,76.17,8.53,23.3,14.86,19.08,6.51,0.82,3.63,1.79,1.4,4.05,,,,25.66,58.38,1.03,290.26,0.0,0.0,148.46,716.5,-0.05
