Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,52.44,34.78,5.26,7.24,12.85,5.16,56.07,0.44,7.23,0.62,,,,0.52,1.03,15.76,76.8,0.53,176.6,0.0,0.0,29.02,,
2024-01-02,32.4,18.43,3.58,6.44,10.07,4.85,56.01,0.31,5.4,0.44,,,,0.37,0.68,14.5,81.46,0.52,170.74,0.0,0.0,29.7,,
2024-01-03,41.53,61.17,4.84,7.22,12.32,4.76,56.28,0.34,4.68,0.47,,,,0.4,0.74,16.92,70.48,0.54,167.29,0.0,0.0,27.48,,
2024-01-04,42.72,46.73,5.02,7.77,13.02,5.04,55.9,0.36,6.16,0.5,,,,0.42,0.8,14.47,77.98,0.58,171.1,0.0,0.0,27.78,,
2024-01-05,39.89,60.13,4.24,6.32,10.81,9.05,54.98,0.34,1.79,0.47,,,,0.4,0.75,12.48,83.42,0.5,181.79,0.0,0.0,24.06,,
2024-01-06,21.64,42.9,2.82,6.15,8.96,9.04,62.19,0.12,,0.16,,,,0.14,,14.53,70.62,0.55,184.03,0.0,0.0,0.0,,
2024-01-07,24.6,43.64,2.85,6.12,8.97,9.02,62.32,0.12,,0.16,,,,0.14,,14.66,69.86,0.48,172.84,0.0,0.0,0.0,,
2024-01-08,62.46,48.96,7.36,9.68,17.18,5.05,55.6,0.46,12.54,0.64,,,,0.55,1.09,15.87,70.4,0.62,175.1,0.0,0.0,36.05,,
2024-01-09,67.87,68.79,7.96,9.0,17.78,5.36,55.78,0.53,12.11,0.74,,,,0.64,1.27,14.19,73.14,0.5,185.2,0.0,0.0,28.74,,
2024-01-10,69.55,55.2,7.34,8.36,16.46,5.32,55.95,0.55,10.14,0.77,,,,0.66,1.33,13.98,74.7,0.52,183.51,0.0,0.0,28.48,,
2024-01-11,61.62,43.6,6.31,8.46,15.22,4.94,56.1,0.52,8.1,0.73,,,,0.62,1.25,13.64,74.26,0.58,183.74,0.0,0.0,29.36,,
2024-01-12,59.76,43.66,5.15,7.67,13.1,4.69,56.51,0.53,14.46,0.74,,,,0.64,1.27,12.3,78.33,0.52,179.24,0.0,0.0,29.56,,
2024-01-13,27.66,50.62,2.83,6.1,8.94,9.04,63.87,0.12,,0.16,,,,0.14,,14.24,72.07,0.54,198.26,0.0,0.0,0.0,,
2024-01-14,27.78,64.31,2.83,6.14,8.97,9.03,62.99,0.12,,0.17,,,,0.14,,14.62,72.15,0.58,193.15,0.0,0.0,0.0,,
2024-01-15,39.52,44.33,6.68,9.02,15.93,5.02,56.46,0.38,15.7,0.54,,,,0.47,0.9,17.08,68.82,0.66,183.45,0.0,0.0,29.83,,
2024-01-16,41.0,46.25,4.46,8.43,12.82,4.79,57.02,0.36,12.18,0.5,,,,0.43,0.81,15.63,70.33,0.59,181.18,0.0,0.0,28.46,,
2024-01-17,43.3,38.87,3.66,8.25,11.66,4.71,56.84,0.36,8.77,0.52,,,,0.44,0.83,13.84,71.63,0.63,182.14,0.0,0.0,27.54,,
2024-01-18,35.94,33.39,3.48,7.79,11.06,4.7,55.96,0.32,16.08,0.44,,,,0.38,0.68,13.3,65.14,0.64,175.58,0.0,0.0,33.65,,
