Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,60.16,128.76,2.1,26.44,15.85,24.97,7.17,0.9,73.5,3.56,9.17,,,2.72,3.45,18.01,52.15,0.62,51.88,0.0,0.0,97.09,,
2024-01-02,69.32,148.21,1.96,30.54,17.88,26.81,6.32,0.97,74.88,3.73,9.41,,,2.89,3.62,17.52,54.42,0.56,42.97,0.0,0.0,87.5,,
2024-01-03,57.36,121.27,2.19,29.64,17.59,26.8,3.98,1.01,62.25,3.54,8.17,,,2.37,3.32,16.05,58.81,0.54,41.24,0.0,0.0,97.31,,
2024-01-04,54.05,124.78,1.75,27.75,16.28,23.9,3.78,0.95,67.01,3.19,7.88,,,2.22,2.97,15.31,53.99,0.53,34.2,0.0,0.0,85.46,,
2024-01-05,59.22,140.14,2.14,34.48,20.19,24.86,4.6,1.02,67.41,3.36,8.91,,,2.45,3.17,15.91,50.27,0.46,56.24,0.0,0.0,84.81,,
2024-01-06,65.44,139.24,2.34,32.76,19.38,26.25,4.58,1.01,66.67,3.13,8.3,,,2.36,3.18,16.61,58.74,0.51,41.5,0.0,0.0,101.74,,
2024-01-07,64.94,129.14,3.2,27.69,17.39,22.34,3.88,0.93,60.11,2.65,6.36,,,1.83,2.71,15.67,65.05,0.62,37.47,0.0,0.0,88.67,,
2024-01-08,57.87,122.6,2.43,24.1,14.79,28.49,3.82,1.04,61.42,4.75,7.08,,,4.45,4.65,15.81,66.6,0.62,51.05,0.0,0.0,101.6,,
2024-01-09,68.34,132.46,1.55,19.7,11.74,30.89,4.4,0.91,63.27,5.0,6.73,,,2.51,2.25,14.32,71.4,0.7,25.18,0.0,0.0,85.01,,
2024-01-10,71.39,157.21,1.98,32.52,19.0,28.21,5.75,1.01,74.7,4.23,5.04,,,1.0,1.12,15.34,56.54,0.52,53.38,0.0,0.0,83.0,,
