Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-01-01,55.67,170.71,8.78,24.82,33.6,22.89,20.88,,,,,,,,,,76.59,0.21,94.35,,0.0,87.09,,
2022-01-02,49.69,186.96,10.56,24.66,35.23,23.2,27.18,,,,,,,,,,79.03,0.25,85.99,,0.0,89.22,,
2022-01-03,64.22,230.01,11.86,27.57,39.43,23.8,19.09,,,,,,,,,,71.31,0.22,94.35,,0.0,96.2,,
2022-01-04,105.57,274.52,10.68,29.33,40.01,26.13,21.99,,,,,,,,,,75.42,0.22,102.82,,0.0,90.3,,
2022-01-05,145.95,382.56,12.9,30.76,43.66,28.19,18.23,,,,,,,,,,77.99,0.22,88.32,,0.0,78.98,,
2022-01-06,164.88,430.4,14.14,37.41,51.55,32.45,22.36,,,,,,,,,,72.01,0.18,167.27,,0.0,79.26,,
2022-01-07,102.18,273.86,11.71,31.04,42.75,29.21,19.95,,,,,,,,,,70.96,0.22,87.55,,0.0,82.64,,
2022-01-08,105.85,292.03,13.58,34.04,47.51,32.1,19.74,,,,,,,,,,77.85,0.2,62.89,,0.0,80.61,,
2022-01-09,77.1,268.87,16.71,34.88,51.59,33.55,20.4,,,,,,,,,,78.74,0.21,75.44,,0.0,69.29,,
2022-01-10,105.67,295.66,15.46,35.17,50.63,32.88,15.93,,,,,,,,,,79.4,0.2,81.18,,0.0,42.31,,
2022-01-11,123.27,291.74,13.9,32.25,46.16,31.7,30.04,,,,,,,,,,87.67,0.21,121.2,,0.0,36.82,,
2022-01-12,110.67,258.75,14.59,30.32,44.9,28.75,31.3,,,,,,,,,,96.02,0.17,127.41,,0.0,31.27,,
2022-01-13,61.26,114.15,19.15,25.45,44.6,32.38,24.69,,,,,,,,,,88.76,0.21,128.88,,0.0,81.35,,
2022-01-14,64.57,84.86,13.59,26.61,40.15,27.61,23.79,,,,,,,,,,88.71,0.19,89.18,,0.0,32.53,,
2022-01-15,66.69,154.26,12.62,25.31,37.93,27.29,20.44,,,,,,,,,,75.33,0.22,208.91,,0.0,70.71,,
2022-01-16,75.62,182.23,9.39,26.02,35.41,23.93,22.7,,,,,,,,,,68.22,0.26,106.02,,0.0,97.71,,
2022-01-17,91.85,229.33,12.23,28.63,40.82,26.92,26.44,,,,,,,,,,74.69,0.2,162.5,,0.0,101.18,,
2022-01-18,101.65,246.65,10.47,28.47,38.94,23.88,21.73,,,,,,,,,,69.42,0.22,74.09,,0.0,100.84,,
