Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2021-01-01,108.12,211.5,8.85,24.34,33.19,42.48,17.5,,,,,,,,,,,,,,0.0,,,
2021-01-02,118.86,233.99,12.73,27.93,40.66,41.75,25.16,,,,,,,,,,,,,,0.0,,,
2021-01-03,126.55,249.26,17.63,26.93,44.56,47.45,46.54,,,,,,,,,,,,,,0.0,,,
2021-01-04,132.34,300.82,25.11,29.87,54.98,57.42,38.97,,,,,,,,,,,,,,0.0,,,
2021-01-05,159.46,344.48,21.5,34.4,55.9,57.65,12.92,0.57,,,,,,,,,,,,,0.0,,,
2021-01-06,127.84,277.01,25.19,31.16,56.35,62.75,22.65,,,,,,,,,,,,,,0.0,,,
2021-01-07,127.11,181.43,28.47,29.26,57.73,62.93,24.74,,,,,,,,,,,,,,0.0,,,
2021-01-08,85.55,194.27,18.95,25.53,44.48,59.34,23.34,,,,,,,,,,,,,,0.0,,,
2021-01-09,106.51,241.18,18.02,29.26,47.29,51.86,26.01,,,,,,,,,,,,,,0.0,,,
2021-01-10,140.44,246.08,18.78,29.14,47.92,49.58,27.18,,,,,,,,,,,,,,0.0,,,
2021-01-11,95.06,182.48,9.94,21.82,31.76,40.2,26.74,,,,,,,,,,,,,,0.0,,,
2021-01-12,95.54,187.08,8.35,22.94,31.33,31.4,36.55,,,,,,,,,,,,,,0.0,,,
2021-01-13,125.69,212.42,7.76,20.2,27.96,27.61,26.22,,,,,,,,,,,,,,0.0,,,
2021-01-14,138.79,226.03,8.29,26.47,34.77,28.58,22.44,,,,,,,,,,,,,,0.0,,,
2021-01-15,178.86,291.82,8.39,24.71,33.09,30.43,20.89,,,,,,,,,,,,,,0.0,,,
2021-01-16,183.06,300.33,8.33,24.67,33.0,34.57,27.98,,,,,,,,,,,,,,0.0,,,
2021-01-17,187.01,284.89,9.19,24.49,33.68,34.36,14.13,,,,,,,,,,,,,,0.0,,,
2021-01-18,179.65,332.68,13.21,28.51,41.43,40.15,18.88,,,,,,,,,,,,,,0.0,,,
2021-01-19,197.94,365.6,17.3,32.33,49.63,49.79,37.95,,,,,,,,,,,,,,0.0,,,
2021-01-20,159.21,340.24,8.86,24.8,33.66,39.02,36.27,,,,,,,,,,,,,,0.0,,,
2021-01-21,131.12,284.67,17.87,23.21,41.09,42.74,35.11,,,,,,,,,,,,,,0.0,,,
2021-01-22,119.95,330.78,9.66,25.66,35.32,45.39,38.99,,,,,,,,,,,,,,0.0,,,
2021-01-23,111.32,323.63,8.61,26.87,35.48,46.53,0.16,,,,,,,,,,,,,,0.0,,,
2021-01-24,93.37,296.53,9.14,23.73,32.87,42.52,,,,,,,,,,,,,,,0.0,,,
2021-01-25,102.37,239.67,8.2,20.78,28.97,38.19,36.44,,,,,,,,,,,,,,0.0,,,
2021-01-26,120.9,202.12,8.05,21.49,29.54,31.92,35.49,,,,,,,,,,,,,,0.0,,,
2021-01-27,127.51,219.07,7.76,19.88,27.64,34.06,35.36,,,,,,,,,,,,,,0.0,,,
2021-01-28,124.11,198.46,9.41,21.34,30.75,27.73,35.5,,,,,,,,,,,,,,0.0,,,
2021-01-29,175.57,286.16,16.44,31.3,47.74,37.34,33.6,,,,,,,,,,,,,,0.0,,,
2021-01-30,159.81,230.74,7.87,22.39,30.26,28.33,32.21,,,,,,,,,,,,,,0.0,,,
2021-01-31,152.7,223.52,8.82,23.18,32.0,27.4,34.09,,,,,,,,,,,,,,0.0,,,
2021-02-01,143.96,241.95,11.97,28.6,40.52,29.36,30.48,,,,,,,,,,,,,,0.0,,,
2021-02-02,138.04,257.15,16.06,27.36,43.51,31.97,18.35,,,,,,,,,,,,,,0.0,,,
2021-02-03,162.67,282.97,14.08,29.42,43.5,34.18,17.96,,,,,,,,,,,,,,0.0,,,
2021-02-04,171.63,340.2,21.45,28.82,50.27,53.32,18.03,,,,,,,,,,,,,,0.0,,,
2021-02-05,153.6,495.37,29.46,34.34,63.8,84.36,18.23,,,,,,,,,,,,,,0.0,,,
2021-02-06,109.0,340.82,11.98,23.47,35.45,70.51,16.88,,,,,,,,,,,,,,0.0,,,
2021-02-07,77.49,197.2,8.02,21.22,29.24,65.55,15.8,,,,,,,,,,,,,,0.0,,,
