Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2021-01-01,265.21750000000003,398.0566666666667,64.5475,81.91,83.3075,84.27666666666667,12.2775,1.4400000000000002,29.1725,15.766666666666666,19.55,,,,,11.74,70.2875,0.6699999999999999,161.4625,0.0,0.0,41.605000000000004,750.0,-0.08750000000000001
2021-01-02,297.1725,423.18,72.625,81.7875,89.69,97.39333333333333,12.1375,1.1333333333333333,26.15,17.043333333333333,51.385000000000005,,,,,13.98,66.84,0.5725,148.32,0.0,0.0,33.2425,750.0,-0.13499999999999995
2021-01-03,300.3375,461.0466666666666,49.629999999999995,62.58,65.595,93.79666666666667,10.335,1.5599999999999998,20.1725,13.486666666666665,26.16,,,,,16.145,70.7525,0.5925,166.4875,0.0,0.0,34.870000000000005,750.0,0.15000000000000002
2021-01-04,223.19,437.69,13.685,53.714999999999996,33.519999999999996,86.92999999999999,9.2075,1.9466666666666665,18.28,6.82,6.715,,,,,16.355,77.445,0.675,181.35500000000002,0.0,0.0,18.7475,750.0,0.14750000000000002
2021-01-05,219.7175,415.09999999999997,16.925,49.5425,34.1625,86.69666666666667,10.9725,1.3333333333333333,22.525,8.02,8.85,,,,,17.619999999999997,75.7425,0.6675,181.5675,0.0,0.0,31.0425,750.0,0.175
2021-01-06,176.0625,349.68,19.244999999999997,43.86,35.72,92.62666666666667,12.4225,1.29,21.5175,7.876666666666666,11.23,,,,,18.57,72.58,0.6525000000000001,157.4375,0.0,0.0,45.94,750.0,0.2275
2021-01-07,77.8475,174.11333333333334,7.9925,29.2225,21.58,65.61333333333333,11.77,1.1166666666666667,26.540000000000003,4.036666666666666,5.569999999999999,,,,,17.46,78.7125,1.025,176.35500000000002,0.0,0.0,44.78,750.0,0.38249999999999995
2021-01-08,115.32499999999999,236.56333333333336,7.195,29.837500000000002,21.2775,65.68333333333334,11.965,1.9533333333333331,29.505,4.1866666666666665,2.83,,,,,14.844999999999999,89.2225,0.8325,194.805,0.0,0.0,40.8775,750.0,0.33
2021-01-09,120.075,245.54333333333332,8.0625,42.2325,29.5525,68.36333333333333,12.8225,2.02,31.182499999999997,5.236666666666667,6.655,,,,,16.325,80.78,1.0975000000000001,172.16,0.0,0.0,34.915,750.0,0.4
2021-01-10,104.8475,221.51,6.475,30.22,20.802500000000002,64.58,11.535,1.64,37.5275,2.516666666666667,3.39,,,,,16.880000000000003,81.3175,1.615,186.59,0.0,0.0,44.575,750.0,0.48000000000000004
2021-01-11,105.1025,209.5566666666667,7.237500000000001,37.395,25.2425,74.88666666666667,10.525,1.4033333333333333,39.7575,3.063333333333333,1.42,,,,,12.79,74.6525,1.5525,183.63250000000002,0.0,0.0,53.7025,750.0,0.485
2021-01-12,141.2025,271.57666666666665,22.992500000000003,42.4275,39.0475,68.96333333333332,10.575,1.1533333333333333,37.27,4.613333333333333,1.525,,,,,11.835,81.4625,1.2775,192.0775,0.0,0.0,53.3275,750.0,0.39749999999999996
2021-01-13,166.9375,321.92,33.5,52.795,53.489999999999995,52.04333333333333,11.945,1.0266666666666666,35.385,7.329999999999999,3.25,,,,,10.405000000000001,84.6925,1.0175,192.0575,0.0,0.0,47.3275,750.59,0.3425
2021-01-14,190.96,349.4766666666667,15.3025,55.805,42.4775,62.17666666666667,11.5825,1.1766666666666667,31.835,5.376666666666666,6.965,,,,,10.754999999999999,85.5175,0.9075,177.0075,0.0,0.0,48.3675,751.0,-0.039999999999999994
2021-01-15,205.345,394.8333333333333,32.19,62.877500000000005,60.425,72.42,11.9975,1.3766666666666667,32.7825,6.0200000000000005,6.925,,,,,12.155000000000001,87.2575,0.8275,210.0025,0.0,0.0,45.1725,751.0,0.024999999999999994
2021-01-16,178.85750000000002,361.18,25.334999999999997,66.27250000000001,56.629999999999995,73.7,10.799999999999999,1.1533333333333333,37.18,4.476666666666667,12.51,,,,,12.86,84.6825,0.8999999999999999,207.195,0.0,0.0,54.432500000000005,751.0,0.07250000000000001
2021-01-17,172.4125,325.3566666666666,44.67,45.3125,61.9725,72.05,12.8575,1.21,33.9275,4.973333333333334,7.315,,,,,11.934999999999999,89.395,1.1425,160.0,0.0,0.0,37.182500000000005,751.0,-0.05500000000000001
2021-01-18,209.7575,461.8533333333333,51.4825,67.5025,79.1775,79.76333333333334,12.52,1.3033333333333335,29.512500000000003,6.010000000000001,16.465,,,16.61,,10.57,86.0275,0.785,158.04500000000002,0.0,0.0,41.4975,751.0,-0.035
