
Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2020-01-01,,,0.74,2.34,1.03,2.41,6.2,0.18,34.89,0.2,0.09,,,,0.02,8.14,47.83,5.44,105.06,0.0,0.0,69.99,,
2020-01-02,14.61,,0.78,2.49,1.09,2.59,6.72,0.33,29.18,0.4,0.63,,,0.11,0.45,8.24,55.43,4.06,125.4,0.0,0.0,55.52,,
2020-01-03,4.16,,0.71,2.23,0.98,2.29,5.74,0.25,35.67,0.28,0.16,,,,0.1,5.59,52.56,4.78,106.93,0.44,13.846666666666666,19.06,,
2020-01-04,,,0.74,2.4,1.08,2.46,6.02,0.24,24.36,0.44,0.41,,,0.04,0.22,5.97,61.28,2.63,142.51,0.04,1.3366666666666667,26.33,,
2020-01-05,13.57,,0.69,2.34,1.07,2.41,6.18,0.17,49.66,0.31,0.1,,,,0.05,4.93,53.81,5.07,164.49,0.05,1.6333333333333335,30.38,,
2020-01-06,12.55,,0.63,2.13,0.98,2.17,5.19,0.28,27.22,0.42,0.31,,,0.02,0.15,3.72,41.78,2.58,93.24,0.0,0.03333333333333333,65.74,,
2020-01-07,13.5,,0.69,2.22,0.93,2.29,5.64,0.31,27.28,0.37,0.5,,,0.08,0.32,5.72,47.1,2.15,114.13,0.0,0.0,43.01,,
2020-01-08,11.0,,0.57,1.77,0.42,1.82,4.76,0.1,19.11,0.11,0.09,,,,0.06,5.01,38.39,1.85,87.87,0.0,0.05333333333333334,80.98,,
2020-01-09,54.82,72.52,0.58,1.85,0.33,1.86,5.45,0.21,16.18,0.24,0.24,,,0.05,0.17,4.8,41.38,2.47,117.52,0.0,0.0,3.05,,
2020-01-10,36.31,49.57,0.79,2.5,1.08,2.57,7.02,0.69,29.15,0.91,2.08,,,0.4,1.55,6.75,53.59,3.05,135.71,0.0,0.0,35.62,,
2020-01-11,23.1,31.18,0.92,2.99,1.33,3.07,8.02,0.29,33.21,0.41,0.28,,,,0.17,7.43,64.14,3.22,124.74,0.0,0.0,91.52,,
2020-01-12,15.89,24.08,0.75,2.44,1.09,2.49,6.59,0.2,28.5,0.28,0.18,,,,0.08,6.76,51.2,3.85,95.91,0.0,0.0,96.34,,
2020-01-13,20.99,39.96,0.87,2.85,1.29,2.93,7.88,0.38,29.42,0.56,0.54,,,0.09,0.4,8.66,60.84,4.05,131.05,0.0,0.0,104.62,,
2020-01-14,36.93,49.32,0.86,2.72,1.2,2.77,7.68,0.47,24.8,0.55,0.57,,,0.08,0.42,9.25,60.49,2.92,149.89,0.0,0.0,98.94,,
2020-01-15,38.87,50.32,0.91,2.84,1.22,2.91,8.03,0.43,23.62,0.53,0.52,,,0.07,0.35,8.88,66.94,3.23,142.3,0.01,0.22666666666666668,88.28,,
2020-01-16,21.32,30.42,0.74,2.34,0.66,2.35,6.54,0.2,27.11,0.25,0.13,,,,0.08,8.28,46.97,2.73,117.57,0.0,0.0,130.28,,
2020-01-17,33.15,44.95,0.75,2.37,0.42,2.45,7.1,0.15,32.85,0.16,0.12,,,0.02,0.09,7.83,51.71,3.61,164.6,0.0,0.0,10.33,,
2020-01-18,33.68,46.16,0.76,2.41,1.04,2.47,7.32,0.25,46.24,0.23,0.1,,,,0.07,8.27,46.9,4.21,157.62,0.0,0.0,67.7,,
2020-01-19,21.02,31.9,0.77,2.5,1.11,2.61,7.86,0.18,66.33,0.12,0.01,,,,,8.75,43.07,7.1,175.11,0.0,0.0,65.92,,
2020-01-20,30.06,40.02,0.81,2.6,1.14,2.67,7.91,0.23,63.38,0.16,0.04,,,,0.04,7.24,50.05,6.61,168.42,0.01,0.37999999999999995,90.4,,
2020-01-21,20.43,30.42,0.77,2.46,1.08,2.55,7.11,0.3,34.41,0.23,0.27,,,0.07,0.24,6.62,26.25,3.05,144.4,0.0,0.0,97.46,,
2020-01-22,14.96,22.91,0.73,2.36,1.05,2.42,6.85,0.2,43.95,0.15,0.14,,,0.04,0.14,7.13,25.24,4.94,155.27,0.0,0.0,94.02,,
