Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-01-01,11.69,14.8,0.13,0.75,0.58,2.02,8.07,0.0,19.32,0.0,0.0,,,,,5.67,39.88,2.81,124.12,0.0,0.0,55.26,,
2022-01-02,10.33,13.19,0.12,0.72,0.55,2.0,8.22,0.0,15.99,0.0,0.0,,,,,6.31,39.86,2.36,110.02,0.0,0.0,77.31,,
2022-01-03,17.98,21.34,0.13,0.74,0.56,2.01,9.79,0.0,12.77,0.0,0.0,,,,,6.26,44.46,2.12,94.79,0.0,0.0,54.5,,
2022-01-04,18.9,22.72,0.14,0.77,0.57,2.04,9.73,0.0,14.37,0.0,0.0,,,,,5.89,46.15,2.7,96.29,0.0,0.0,62.08,,
2022-01-05,12.75,16.16,0.11,0.71,0.57,1.94,8.68,0.0,15.79,0.0,0.0,,,,,6.34,38.7,2.47,76.98,0.0,0.0,81.87,,
2022-01-06,36.06,20.64,0.11,0.68,0.52,1.79,9.22,0.0,10.25,0.0,0.0,,,,,5.84,38.97,2.25,61.93,0.0,0.0,67.02,,
2022-01-07,22.28,25.86,0.14,0.76,0.54,2.05,11.4,0.0,17.81,0.0,0.0,,,,,7.13,43.22,2.11,86.0,0.0,0.0,74.53,,
2022-01-08,16.44,19.46,0.17,0.8,0.54,2.06,10.72,0.0,20.1,0.0,0.0,,,,,7.43,40.76,2.56,58.62,0.0,0.0,78.33,,
2022-01-09,17.09,20.83,0.13,0.72,0.54,1.97,9.71,0.0,21.54,0.0,0.0,,,,,6.93,39.08,2.49,69.12,0.0,0.0,54.26,,
2022-01-10,21.29,24.21,0.15,0.81,0.56,2.07,10.88,0.0,17.83,0.0,0.0,,,,,7.18,40.82,2.21,78.99,0.0,0.0,71.42,,
2022-01-11,20.17,23.08,0.13,0.73,0.54,2.03,10.4,0.0,19.02,0.0,0.0,,,,,7.29,37.8,2.46,65.27,0.0,0.0,61.79,,
2022-01-12,10.5,14.06,0.13,0.72,0.54,1.91,8.66,0.0,20.08,0.0,0.0,,,,,5.01,38.16,3.31,52.69,0.09,2.7933333333333334,39.05,,
2022-01-13,9.71,12.21,0.12,0.68,0.49,1.87,8.38,0.0,18.75,0.0,0.0,,,,,4.65,33.4,2.9,50.3,0.07,2.15,69.29,,
2022-01-14,19.91,24.57,0.12,0.71,0.54,1.9,9.28,0.0,14.58,0.0,0.0,,,,,4.62,31.64,2.86,77.34,0.0,0.0,52.97,,
2022-01-15,17.3,20.79,0.12,0.72,0.55,1.95,9.02,0.0,16.08,0.0,0.0,,,,,5.28,37.55,2.79,52.48,0.0,0.0,46.21,,
2022-01-16,16.84,20.1,0.11,0.72,0.55,1.95,9.36,0.0,14.51,0.0,0.0,,,,,5.29,42.94,2.3,88.79,0.0,0.0,56.35,,
2022-01-17,9.93,12.72,0.13,0.74,0.55,1.94,8.83,0.0,18.28,0.0,0.0,,,,,5.84,34.53,3.05,111.34,0.0,0.0,68.9,,
2022-01-18,6.45,9.64,0.13,0.71,0.52,1.9,8.79,0.0,16.73,0.0,0.0,,,,,5.56,36.49,3.29,84.45,0.0,0.0,58.04,,
2022-01-19,9.95,12.26,0.12,0.71,0.53,1.92,8.71,0.0,17.2,0.0,0.0,,,,,5.42,40.11,3.11,66.23,0.03,0.9733333333333333,66.14,,
2022-01-20,18.23,20.52,0.12,0.7,0.55,1.96,10.36,0.0,19.41,0.0,0.0,,,,,4.81,44.21,2.71,66.0,0.0,0.023333333333333334,49.94,,
2022-01-21,24.98,29.6,0.11,0.74,0.55,1.85,10.02,0.0,27.91,0.0,0.0,,,,,3.98,38.58,3.1,65.65,0.03,0.9366666666666666,39.13,,
2022-01-22,16.57,19.96,0.13,0.74,0.56,1.86,8.52,0.0,23.39,0.0,0.0,,,,,4.63,36.4,3.09,57.71,0.01,0.21666666666666667,47.24,,
2022-01-23,19.66,23.07,0.11,0.71,0.55,1.91,9.77,0.0,23.23,0.0,0.0,,,,,4.89,36.79,2.38,62.31,0.01,0.3333333333333333,34.55,,
2022-01-24,10.43,13.88,0.12,0.74,0.59,2.01,9.07,0.0,17.35,0.0,0.0,,,,,5.56,43.12,1.8,88.22,0.12,2.36,62.18,,
2022-01-25,,,,,,,,,,,,,,,,,,,,,0.0,,,
2022-01-26,,,,,,,,,,,,,,,,,,,,,0.0,,,
2022-01-27,,,,,,,,,,,,,,,,,,,,,0.0,,,
2022-01-28,,,,,,,,,,,,,,,,,,,,,0.0,,,
2022-01-29,28.7,34.09,0.12,0.76,0.57,1.91,9.93,0.0,18.33,0.0,0.0,,,,,3.71,43.93,2.39,113.97,0.0,0.0,61.18,,
2022-01-30,27.75,31.57,0.12,0.77,0.61,1.99,10.51,0.0,20.08,0.0,0.0,,,,,4.43,42.6,2.1,71.98,0.0,0.0,65.03,,
2022-01-31,27.38,27.73,0.1,0.73,0.61,1.96,9.79,0.0,29.39,0.0,0.0,,,,,4.0,43.1,3.24,84.41,0.0,0.0,37.33,,
2022-02-01,36.22,37.96,0.11,0.73,0.61,1.93,12.3,0.0,57.39,0.0,0.0,,,,,4.22,39.79,5.87,46.17,0.0,0.0,77.39,,
2022-02-02,20.01,26.98,0.11,0.79,0.65,1.97,10.24,0.0,37.76,0.0,0.0,,,,,4.8,32.76,4.16,54.45,0.0,0.0,64.65,,
2022-02-03,29.67,35.37,0.14,0.77,0.58,1.95,12.31,0.0,40.41,0.0,0.0,,,,,5.16,38.08,4.19,65.8,0.0,0.02,36.48,,
2022-02-04,21.86,26.39,0.11,0.7,0.53,1.88,10.16,0.0,27.25,0.0,0.0,,,,,4.01,41.85,3.35,105.53,0.03,0.86,26.92,,
2022-02-05,4.61,13.78,0.12,0.75,0.53,1.95,7.06,0.0,34.61,0.0,0.0,,,,,3.02,46.57,4.25,91.61,0.85,3.1300000000000003,4.52,,
2022-02-06,,,,,,,,,,,,,,,,,,,,,0.0,,,
2022-02-07,,,,,,,,,,,,,,,,,,,,,0.0,,,
