Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2021-01-01,116.55,215.61,4.1,68.53,38.78,16.01,3.63,1.01,72.68,,,,,,,23.22,67.99,1.8,115.26,0.0,0.0,93.14,752.64,0.07
2021-01-02,115.47,210.34,3.76,39.55,24.05,23.47,3.94,0.96,76.36,5.27,12.65,1.33,,,,22.97,68.9,1.65,117.94,0.0,0.0,89.93,752.32,0.06
2021-01-03,110.2,199.56,5.04,50.1,30.74,22.06,5.57,0.98,62.04,4.02,7.68,1.49,,,,22.73,68.67,1.6,103.11,0.0,0.0,102.12,751.27,0.06
2021-01-04,80.61,145.88,2.5,32.56,19.37,17.1,10.88,0.76,55.64,3.43,6.51,1.26,,,,23.13,67.9,1.89,100.92,0.0,0.0,110.78,751.24,0.07
2021-01-05,80.59,162.99,3.7,39.72,24.14,16.46,15.03,0.78,35.76,12.35,30.54,2.83,,,,23.07,74.29,1.79,133.15,0.53,21.9,83.8,751.24,0.07
2021-01-06,71.92,126.66,2.99,37.69,22.45,14.68,16.81,0.84,34.79,3.38,4.32,1.33,,,,24.25,68.71,1.8,93.54,0.0,0.0,72.51,750.32,0.04
2021-01-07,64.73,131.88,7.07,25.12,18.73,11.12,15.16,0.76,30.54,3.38,5.29,1.21,,,,24.7,74.04,1.24,90.73,0.0,0.0,108.85,748.94,0.06
2021-01-08,37.57,80.08,8.15,34.15,24.79,7.83,15.72,0.54,23.13,2.66,6.96,1.67,,,,24.59,70.76,1.58,214.45,0.0,0.0,133.11,749.12,0.07
2021-01-09,48.61,93.15,6.17,37.75,25.1,9.82,15.29,0.7,25.43,2.18,4.32,1.44,,,,24.26,73.22,1.64,199.89,0.0,0.0,114.03,749.78,0.04
2021-01-10,68.93,175.94,51.47,74.88,81.19,9.98,17.31,1.4,23.2,5.39,12.6,5.22,,,,24.67,66.12,1.06,67.19,0.0,0.0,112.79,749.91,0.03
2021-01-11,101.84,259.36,57.29,94.44,96.81,17.43,16.71,1.75,30.29,4.82,13.58,5.36,,,,24.54,63.79,0.97,26.0,0.0,0.0,103.08,750.64,0.03
2021-01-12,101.04,263.3,60.06,76.64,89.6,15.03,13.96,1.45,28.14,4.34,10.81,5.37,,,,24.02,67.74,1.03,52.55,0.0,0.0,107.62,750.75,0.03
2021-01-13,129.03,261.14,49.48,80.6,83.09,30.79,18.08,2.11,25.01,7.18,14.6,5.27,,,,23.43,77.3,1.09,,0.0,0.0,99.34,750.52,0.02
2021-01-14,77.43,134.47,10.4,34.01,26.54,17.3,14.49,0.86,28.43,3.76,14.07,1.57,,,,23.77,79.12,1.37,235.67,0.0,0.0,109.73,750.3,0.04
2021-01-15,82.11,166.72,16.79,48.42,39.4,15.32,18.41,0.98,30.01,4.77,7.24,2.21,,,,23.96,76.62,1.45,,0.0,0.0,105.03,749.69,-0.02
2021-01-16,69.75,149.6,8.7,44.23,30.6,15.2,20.77,0.7,27.92,3.74,17.5,1.63,,,,23.67,76.92,1.68,,0.0,0.0,104.62,748.91,-0.03
2021-01-17,73.08,113.64,9.59,43.45,30.91,15.28,18.03,0.72,31.06,3.39,11.24,1.61,,,,23.72,76.56,1.55,266.5,0.0,0.0,115.02,750.74,0.05
2021-01-18,83.93,134.86,2.95,24.89,15.64,19.64,17.4,0.71,38.2,2.57,6.35,0.62,,,,22.89,72.95,2.22,316.7,0.0,0.0,111.55,751.39,0.08
2021-01-19,83.11,147.42,6.17,41.76,27.23,16.53,2.18,0.84,53.96,2.47,4.88,1.44,,,,,68.54,1.5,,0.0,0.0,162.4,750.82,0.01
2021-01-20,100.52,226.9,26.52,72.3,60.02,20.2,10.05,1.14,24.46,5.06,16.35,4.21,,,,,77.11,1.5,,0.0,0.0,100.98,750.69,-0.02
2021-01-21,91.91,177.29,9.58,58.38,38.84,21.13,16.81,1.07,27.05,3.96,12.1,2.0,,,,25.78,76.21,1.54,312.0,0.0,0.0,101.34,750.09,-0.01
2021-01-22,93.37,156.72,2.5,27.69,16.73,22.18,15.29,0.82,32.62,3.77,11.43,0.9,,,,24.4,77.71,1.87,38.29,0.0,0.0,90.43,750.79,0.08
2021-01-23,80.48,155.79,15.9,48.05,38.5,15.78,14.67,0.92,28.35,3.72,8.32,3.15,,,,25.25,76.8,1.59,107.0,0.0,0.0,116.65,750.68,0.06
2021-01-24,90.02,176.73,8.86,46.73,31.8,20.71,16.04,0.99,24.37,5.17,14.31,2.09,,,,25.31,74.7,1.91,,0.0,0.0,126.86,750.95,-0.05
2021-01-25,68.07,136.49,13.06,52.34,38.46,16.86,15.95,0.86,17.5,4.29,16.04,2.14,,,,24.32,75.56,1.66,,0.0,0.0,110.43,751.49,-0.04
2021-01-26,62.51,126.18,10.6,47.57,33.92,15.61,17.02,0.7,16.34,4.84,10.04,1.74,,,,24.18,74.99,1.5,,0.0,0.0,89.07,751.14,-0.05
2021-01-27,69.92,145.15,16.94,26.27,27.07,20.23,16.06,0.84,21.44,4.63,10.56,2.73,,,,25.03,73.48,1.1,58.5,0.0,0.0,97.89,750.55,0.01
2021-01-28,81.59,173.2,24.83,41.89,42.47,21.88,12.5,0.88,27.26,2.95,6.43,3.57,,,,24.83,75.49,1.64,146.62,0.0,0.0,100.27,751.54,0.08
2021-01-29,77.6,144.53,4.21,26.88,17.72,19.73,16.55,0.76,34.91,1.78,2.4,0.78,,,,25.53,70.55,1.44,,0.0,0.0,99.56,751.65,-0.01
