Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2020-01-01,64.72,101.79,2.82,26.59,16.44,11.42,8.1,1.14,70.51,4.74,5.79,1.17,,,,19.81,74.2,2.99,185.41,0.0,0.0,78.64,763.93,0.13
2020-01-02,50.87,91.55,3.16,30.49,18.78,11.4,8.83,1.09,59.92,4.93,8.42,1.34,,,,19.71,73.21,2.69,188.65,0.0,0.0,58.62,765.22,0.12
2020-01-03,52.59,90.53,3.23,23.28,15.01,11.74,7.55,1.08,61.8,4.92,8.84,1.09,,,,21.03,78.02,2.57,146.75,0.0,0.0,94.54,760.3,0.12
2020-01-04,21.82,48.86,3.88,21.84,14.77,10.36,9.36,0.95,44.17,4.08,7.67,0.99,,,,19.45,79.57,2.64,157.11,0.0,0.0,83.92,758.85,0.13
2020-01-05,16.0,43.07,3.03,18.27,12.19,10.24,9.04,0.84,52.64,2.9,5.02,0.65,,,,21.07,76.1,2.61,144.45,0.0,0.0,107.14,752.11,0.1
2020-01-06,49.68,89.08,2.88,22.25,14.18,12.36,9.86,0.97,64.75,3.43,5.42,0.75,,,,20.67,71.52,2.93,144.45,0.0,0.0,116.99,730.86,0.16
2020-01-07,54.98,102.78,3.09,27.94,17.37,13.14,9.75,0.94,69.0,3.77,7.2,1.15,,,,19.61,70.99,2.32,162.19,0.0,0.0,114.31,761.6,0.07
2020-01-08,49.74,92.68,3.09,27.58,17.18,12.69,8.43,0.92,70.9,3.42,7.48,1.99,,,,20.37,69.6,1.21,146.04,0.0,0.0,122.04,760.53,0.03
2020-01-09,73.62,212.97,38.9,57.72,62.33,13.43,6.95,1.25,46.15,8.72,15.87,7.41,,,,20.43,76.93,1.15,183.57,0.0,0.0,105.27,759.55,0.0
2020-01-10,49.04,87.31,2.7,23.33,14.61,10.81,8.2,1.0,56.9,3.39,7.72,1.19,,,,20.93,79.44,1.98,129.48,0.0,0.0,77.01,756.45,0.05
